contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
Hetro Labs Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1175,510008.4,1175.0,SUPPLY OF VEHICLES AND ACCESORIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=334,2014-01-22,Ministry of Communication,USA Dollar,Ghana News Agency,1. 4x4 double Cabin Pick-up 2. 4x4 Cross Country Vehicle 3. Car Batteries  4. Vehicle Tyres,2014-04-22,NCT,1,"Hetro House H. No. 8-3-166/7/1
Erragadda
Hyderabad
India",2017-10-10 12:36:03.377976,,GR/GNA/NCT/GD/0005/2013,Ghana News Agency/Ministry of Communication
ALIDDISAH AND COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1176,71638754.0,1176.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-06,NCT,4,"P. O. BOX MP 2817
MAMPROBI ACCRA",2017-10-10 12:36:12.712120,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
Central Furniture Works,https://www.ppaghana.org/contractdetail.asp?Con_ID=1177,50140.0,1177.0,Procurement of Goodsu,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-02-11,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Supply and installation of Office Furniture,2014-04-11,NCT,2,"Central Furniture Works
P. O. Box KN 188
Kaneshie - Accra",2017-10-06 15:46:21.523268,,GR/SSNIT/GD/0043/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
Yepon Ventures,https://www.ppaghana.org/contractdetail.asp?Con_ID=1178,62090.0,1178.0,Procurement of Goodsu,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-02-12,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Supply and installation of Office Furniture,2014-04-12,NCT,1,"Yepon Ventures
P. O. Box 1555
Accra",2017-10-06 15:46:48.746860,,GR/SSNIT/GD/0043/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=1179,169813.43,1179.0,Supply and Installation of Printers,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-01-27,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Supply and Installation of Printers,2014-03-27,NCT,2,"P. O. Box AN 7617
Accra",2017-10-06 15:47:10.956365,,GR/SSNIT/GD/0024/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=1180,1229260.53,1180.0,PROCUREMENT OF TECHNICAL,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-01-27,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Provision of local area network communication infrastructure and supply and installation of Automatic voltage regulators and uninterrupted power supply units at selected SSNIT offices,2014-05-13,NCT,1,"P. O. Box AN 7617
Accra",2017-10-06 15:47:39.175952,,GR/SSNIT/TS/0005/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
Buildtrust Company Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1181,129760.0,1181.0,PROCUREMENT OF FIELD LOGISTIC & EQUIPMENT FOR WAAPP PCU,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=409,2013-11-19,Ministry of Agriculture,USA Dollar,Accra Metropolitan Assembly,"The West Africa Agricultural Productivity Programme (WAAPP) of the Ministry of Food and Agriculture, (MOFA), invites sealed bids from eligible bidders for the Goods Procurement listed below.      FIELD MATERIALS & EQUIPMENT  QUANTITY: VARIOUS  BID SECURITY: GHC 2500  DELIVERY SCHEDULE: 60DAYS    1. Address for Bid Submission  Project Coordinator, WAAPP    Street Address:  WEST AFRICA AGRICULTURAL PRODUCTIVITY PROGRAMME (WAAPP)                  Ministry of Food and Agriculture, P O Box M.37, Accra, Ghana  Room number: 2, 3, and 4    Accra, Ghana      2. Address for Bid Opening   Conference Room of the Ministry of Food and Agriculture Information Resource Centre, Accra in the vicinity of Aglow Chemicals and the Greater-Accra Regional MoFA Offices",2013-12-16,NCT,4,"BUILDTRUST COMPANY LIMITED
P.O.BOX AN12595
ACCRA-NORTH",2017-10-06 15:48:26.546788,,MOFA/WAAPP/GE/NCB/2013/05,Accra Metropolitan Assembly/Ministry of Agriculture
MILLNEST CONSTRUCTION LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1182,121793274.0,1182.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,8,"P. O. BOX MD 975
MADINA",2017-10-06 15:48:01.890709,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
NORTHERN ROCKETLIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1183,66987814.0,1183.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,5,"P. O. BOX MP 2817
ACCRA",2017-10-06 15:48:30.287538,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
I.A.K.A LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1184,32138414.0,1184.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,11-DEC-2013,"P. O. BOX KD 29
KANDA, ACCRA",2017-10-06 15:48:51.910474,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
AKASONS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1185,28404540.0,1185.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,10,"P. O. BOX 1216
OSU ACCRA",2017-10-06 15:49:23.427144,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
KADDACON LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1186,40477528.0,1186.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,1,"P. O. BOX 16462
KIA AIRPORT",2017-10-06 15:49:02.329833,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
SMART STAFF CONSTRUCTION LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1187,73677756.0,1187.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,6,"P. O. BOX CE 11743
TEMA",2017-10-06 15:49:30.161762,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
JESPAKO GHANA LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1188,43008062.0,1188.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-06-30,NCT,3,"P. O. BOX 1959
TESHIE NUNGUA ACCRA",2017-10-06 15:49:52.807758,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
Paper House,https://www.ppaghana.org/contractdetail.asp?Con_ID=1190,47755.0,1190.0,Printing and Supply of Office Stationery,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-02-10,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Printing and Supply of Office Stationery,2014-03-24,NCT,1,"Paper House
P. O. Box TA 239
Tiafa - Accra",2017-10-06 15:50:09.305542,,GR/SSNIT/GD/0022/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
Paper House,https://www.ppaghana.org/contractdetail.asp?Con_ID=1191,89600.0,1191.0,Printing and Supply of Office Stationery,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2013-11-29,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Printing and Supply of Office Stationery,2014-01-31,NCT,2,"Paper House
P. O. Box TA 239
Taifa - Accra",2017-10-06 15:50:07.553605,,GR/SSNIT/GD/0022/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
Global Eyes Investment Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1192,135000.0,1192.0,SUPPLY OF 4X4 STATION WAGON FOR KUMASI AND WINNEBA CAMPUSES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1377,2013-11-18,Ministry of Education,USA Dollar,University Of Education Winneba (UCEW),Quantity: 3 units,2014-02-17,NCT,6,"P. O. Box A137
La-Accra
Ghana",2017-10-06 15:50:25.252469,,UEW/CR/NCT/GDS/2013/04/06,University Of Education Winneba (UCEW) /Ministry of Education
Global Eyes Investment Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1193,120000.0,1193.0,SUPPLY OF PICK-UP FOR THE UNIVERSITY,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1377,2013-11-18,Ministry of Education,USA Dollar,University Of Education Winneba (UCEW),Quantity: 3 UNITS,2014-02-17,NCT,9,"P. O. Box A137
La
Accra",2017-10-06 15:50:20.226877,,UEW/CR/NCT/GDS/2013/04/09,University Of Education Winneba (UCEW) /Ministry of Education
POLYTEX INDUSTRIES LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1195,95859.0,1195.0,Supply of Black Seedling Polythene Bags,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1328,2013-11-27,Ministry of Finance,New Ghana Cedi,Ghana Cocoa Board,Supply of Black Seedling Polythene Bags,2014-01-01,NCT,2,"P.O.BOX 5268
ACCRA-NORTH",2017-10-06 15:50:42.972328,,GCB/PU/SPU/NCT/V1/2013/03,Ghana Cocoa Board/Ministry of Finance
COLOUR PLANET,https://www.ppaghana.org/contractdetail.asp?Con_ID=1196,149444.08,1196.0,PRINTING & SUPPLY OF 2014 CORPORATE DIARIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2013-10-29,,New Ghana Cedi,Volta River Authority,,,NCT,,PMB332 ACCRA-NORTH,2017-10-06 15:50:57.109697,,"VRA/CSD/RFQ/39890,",Volta River Authority/
BUCKPRESS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1197,31050.0,1197.0,PRINTING & SUPPLY OF 2014 CORPORATE CALENDARS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=402,2013-07-10,,New Ghana Cedi,Volta River Authority,,,NCT,,P.O.BOX AN 12321,2017-10-06 15:50:55.458132,,"VRA/CSD/RFQ/39889,",Volta River Authority/
Japan Motors,https://www.ppaghana.org/contractdetail.asp?Con_ID=1201,328320.0,1201.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=426,2014-01-10,,New Ghana Cedi,Ministry of Local Government and Rural Development,,2014-07-02,,,P. O. Box 5216 - Accra - North,2017-10-06 15:51:40.727961,,,Ministry of Local Government and Rural Development /
Dev - Pro Consulting Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1202,192384.0,1202.0,Study on Hierarchy and Functions of Urban Settlements in Supporting Growth,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=426,2013-02-21,Ministry of Local Government and Rural Development,New Ghana Cedi,Ministry of Local Government and Rural Development,The Government of Ghana has received funding from the World Bank towards the cost of implementation of the Local Government Capacity Support Project (LGCSP) and intends to apply part of the proceeds of this credit to payments under contracts for individual consultants to support project implementation.    The objectives of the project are:  i. To strengthen the intergovernmental fiscal framework;    ii. To strengthen local public financial management and accountility for improved infrastructure and services in urban assemblies; and  iii. To improve citizens’ engagement with urban assemblies and their perceptions of urban management.,2013-07-21,NCT,,P. O. Box AK 31 - Abokobi,2017-10-06 15:52:21.548982,,MLGRD/LGCSP/SC/SHF/2012/03,Ministry of Local Government and Rural Development /Ministry of Local Government and Rural Development
RANA MOTORS & METAL WORKS ENG. CO LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=1205,500843.0,1205.0,PROCUREMENT OF VEHICLE TYRESAND BATTERIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-10-28,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2013-11-28,NCT,"1,2,3","P. O. BOX 7617
ACCRA NORTH",2017-10-06 15:52:34.515778,,GRA/NCT/02/01/2013,Ghana Revenue Authority/Ministry of Finance
RANA MOTORS & METAL WORKS ENG. CO LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=1206,733536.0,1206.0,PROCUREMENT OF VEHICLE TYRESAND BATTERIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-10-28,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2013-11-28,NCT,"4,5,6,7","P. O. BOX 7617
ACCRA NORH",2017-10-06 15:52:45.780311,,GRA/NCT/02/01/2013,Ghana Revenue Authority/Ministry of Finance
WESTERN AUTOMOBILE CTR. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=1207,421401.73,1207.0,PROCUREMENT OF VEHICLES AND MOTORCYCLES FOR PROJECT STAFF,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=421,2013-12-29,Ministry of Agriculture,New Ghana Cedi,Ministry of Agriculture,"Lot1: 4.5 L Station Wagon/Cross Country Vehicle, Quantity - one (1), Delivery Schedule - 45 days, Bid Security - GHS2,500.00    Lot 2: 3.0 L Station Wagon/Cross Country Vehicles, Quantity - six (6), Delivery Schedule - 45 days, Bid Security - GHS10,000.00    Lot 3: 4×4 Double Cabin Pickups (manual transmission, Quantity: eleven (11), Delivery Schedule - 45 days, Bid Security - GHS8,000.00    Lot 4: 4×4 Double Cabin Pickups (Automatic transmission), Quantity - seven (7), Delivery Schedule - 45 days, Bid Security - GHS5,000.00    Lot 5: 2.5 L Executive Saloon Cars, Quantity - three (3), Delivery Schedule - 45 days, Bid Security - GHS2,500.00    Lot 6: Motorcycles, Quantity - eight (8), Delivery Schedule - 45 days, Bid Security - GHS1,000.00",2014-02-28,NCT,1,"P.O. BOX PMB CT 215 
CANTONMENT, ACCRA",2017-10-06 15:52:54.584064,,MOFA/GCAP/GE/NCB/2013/01p,Ministry of Agriculture /Ministry of Agriculture
Western Automobile Ctr. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1208,820216.68,1208.0,PROCUREMENT OF VEHICLES AND MOTORCYCLES FOR PROJECT STAFF,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=421,2013-12-30,Ministry of Agriculture,New Ghana Cedi,Ministry of Agriculture,"Ministry of Food and Agriculture  GHANA COMMERCIAL AGRICULTURE PROJECT  (PROJECT ID: Q7760 - GCAP)    PROCUREMENT OF VEHICLES AND MOTORCYCLES FOR PROJECT STAFF  (MOFA/GCAP/GE/NCB/2013/01)    1. The Government of Ghana has received credit from the International Development Association (IDA) and grant from USAID in various currencies towards the cost of Ghana Commercial Agriculture Project (GCAP) and it is intended that part of the proceeds of this credit will be applied for eligible payments for the Procurement of Vehicles and Motorcycles for Project Staff.      Lot 1 4.5 L Station Wagon/Cross Country Vehicles, One(1) unit,Delivery period: 45 Days, Bid Security: GHS2,500.00    Lot2 3.0 L Station Wagon/Cross Country Vehicles six (6) units, Delivery period: 45 Days, Bid Security: GHS10,000.00    Lot3 4x4 Double Cabin Pickups (manual transmission) eleven(11), Delivery Period: 45 Days, Bid Security: GHS8,000.00    Lot4 4x4 Double Cabin Pickups (Automatic transmission), Seven (7) units, Delivery period: 45 Days, Bid Security: GHS5,000.00    Lot5 2.5 L Executive Saloon Cars, Four(4) units, Delivery Period: 45 Days, Bid Security: GHS2,500.00    Lot6 Motorcycles, Eight(8) units, Delivery Period: 45 Days, Bid Security: GHS1,000.00        2. The Procurement Unit of Ministry of Food and Agriculture (MOFA) now invites sealed bids from eligible and qualified bidders for the Supply of vehicles. Bidders may quote for one or all of the lots by purchasing only one Tender Document.  . Bids will be evaluated and contract awarded on lot basis.    3. Bidding will be conducted through the National Competitive Bidding (NCB) procedures specified in the World Bank’s Guidelines: Procurement under IBRD Loans and IDA Credits, dated January 2011 and is open to all bidders from Eligible Source Countries as defined in the Guidelines.    4. Interested eligible bidders may obtain further information from the Office of the Procurement Unit of Ministry of Food and Agriculture located at address “A” and inspect the bidding documents at the address given below from 9:00am to 5:00pm local time on Thursday, July 8, 2013.    5. A complete set of bidding document in English may be purchased by interested bidders on the submission of a written application to the address below and upon the payment of a non-refundle fee of Two hundred and Fifty Ghana Cedis (GH¢250.00) only. The document will be obtained personally and with an application letter.    6. Bids must be delivered to the address ‘A’ below at or before 10.00am, Thursday, August 8, 2013. Bids shall be valid for a period of 180 days after the deadline of bid submission. All bids must be accompanied by a Bid Security in the amount stated in the tle ove. Late bids will be rejected. Bids will be opened in the presence of the Bidders’ representatives who choose to attend Bid Opening at the address B at 10.05 a.m. local time on Thursday, August 8, 2013.    “A”. The address for Delivery of Bids:          Office of the Procurement Unit           WAAPP Block, around Juvenile Court, Riviera Beach         Ministry of Food and Agriculture           Accra.              B. The address for Bid Opening is:  Conference Room of the MOFA Information Resource Centre , Accra in the vicinity of Aglow Agric Products Ltd. and the Greater-Accra Regional MOFA Offices.",2014-02-28,NCT,2,"P.o. Box PMB CT215 
Cantonment
Accra",2017-10-06 15:53:00.711499,,MOFA/GCAP/GE/NCB/2013/01p,Ministry of Agriculture /Ministry of Agriculture
Western Automobile Ctr. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1209,781007.9,1209.0,PROCUREMENT OF VEHICLES AND MOTORCYCLES FOR PROJECT STAFF,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=421,2013-12-30,Ministry of Agriculture,New Ghana Cedi,Ministry of Agriculture,"Ministry of Food and Agriculture  GHANA COMMERCIAL AGRICULTURE PROJECT  (PROJECT ID: Q7760 - GCAP)    PROCUREMENT OF VEHICLES AND MOTORCYCLES FOR PROJECT STAFF  (MOFA/GCAP/GE/NCB/2013/01)    1. The Government of Ghana has received credit from the International Development Association (IDA) and grant from USAID in various currencies towards the cost of Ghana Commercial Agriculture Project (GCAP) and it is intended that part of the proceeds of this credit will be applied for eligible payments for the Procurement of Vehicles and Motorcycles for Project Staff.      Lot 1 4.5 L Station Wagon/Cross Country Vehicles, One(1) unit,Delivery period: 45 Days, Bid Security: GHS2,500.00    Lot2 3.0 L Station Wagon/Cross Country Vehicles six (6) units, Delivery period: 45 Days, Bid Security: GHS10,000.00    Lot3 4x4 Double Cabin Pickups (manual transmission) eleven(11), Delivery Period: 45 Days, Bid Security: GHS8,000.00    Lot4 4x4 Double Cabin Pickups (Automatic transmission), Seven (7) units, Delivery period: 45 Days, Bid Security: GHS5,000.00    Lot5 2.5 L Executive Saloon Cars, Four(4) units, Delivery Period: 45 Days, Bid Security: GHS2,500.00    Lot6 Motorcycles, Eight(8) units, Delivery Period: 45 Days, Bid Security: GHS1,000.00        2. The Procurement Unit of Ministry of Food and Agriculture (MOFA) now invites sealed bids from eligible and qualified bidders for the Supply of vehicles. Bidders may quote for one or all of the lots by purchasing only one Tender Document.  . Bids will be evaluated and contract awarded on lot basis.    3. Bidding will be conducted through the National Competitive Bidding (NCB) procedures specified in the World Bank’s Guidelines: Procurement under IBRD Loans and IDA Credits, dated January 2011 and is open to all bidders from Eligible Source Countries as defined in the Guidelines.    4. Interested eligible bidders may obtain further information from the Office of the Procurement Unit of Ministry of Food and Agriculture located at address “A” and inspect the bidding documents at the address given below from 9:00am to 5:00pm local time on Thursday, July 8, 2013.    5. A complete set of bidding document in English may be purchased by interested bidders on the submission of a written application to the address below and upon the payment of a non-refundle fee of Two hundred and Fifty Ghana Cedis (GH¢250.00) only. The document will be obtained personally and with an application letter.    6. Bids must be delivered to the address ‘A’ below at or before 10.00am, Thursday, August 8, 2013. Bids shall be valid for a period of 180 days after the deadline of bid submission. All bids must be accompanied by a Bid Security in the amount stated in the tle ove. Late bids will be rejected. Bids will be opened in the presence of the Bidders’ representatives who choose to attend Bid Opening at the address B at 10.05 a.m. local time on Thursday, August 8, 2013.    “A”. The address for Delivery of Bids:          Office of the Procurement Unit           WAAPP Block, around Juvenile Court, Riviera Beach         Ministry of Food and Agriculture           Accra.              B. The address for Bid Opening is:  Conference Room of the MOFA Information Resource Centre , Accra in the vicinity of Aglow Agric Products Ltd. and the Greater-Accra Regional MOFA Offices.",2014-01-28,NCT,3,"P.o. Box PMB Cantonments 215, 
cantonment
Accra",2017-10-06 15:53:11.871853,,MOFA/GCAP/GE/NCB/2013/01p,Ministry of Agriculture /Ministry of Agriculture
